,顧客ID,問い合わせ回数
310,219750002,1
311,063312324,1
312,063852229,1
313,120410202,1
314,173510042,1
315,011122167,1
316,076712020,1
317,002312897,1
318,135410149,1
319,068005644,1
320,002451112,1
321,023212334,1
322,160520013,1
323,063812493,1
324,053122789,1
325,006312535,1
326,053412748,1
327,029312131,1
328,219330005,1
329,037152043,1
330,018312041,1
331,104410075,1
332,063912112,1
333,162320108,1
334,023432056,1
335,068003737,1
336,063122570,1
337,063712432,1
338,188730006,1
339,120120207,1
340,037232180,1
341,035152126,1
342,063512512,1
343,078212150,1
344,002120206,1
345,063812501,1
346,063252198,1
347,109510135,1
348,063332178,1
349,045412273,1
350,068005690,1
351,053812382,1
352,053852232,1
353,040132111,1
354,006152658,1
355,175850012,1
356,037240003,1
357,006122048,1
358,053212645,1
359,002612606,1
360,014912126,1
361,080212066,1
362,063522222,1
363,002722349,1
364,092512062,1
365,045122321,1
366,042122036,1
367,006622194,1
368,135150128,1
369,063712444,1
370,006812210,1
371,068005698,1
372,063212475,1
373,045312245,1
374,068005672,1
375,120910050,1
376,063112313,1
377,006812417,1
378,148330006,1
379,037252219,1
380,160230013,1
381,038332200,1
382,053432164,1
383,002722424,1
384,045612136,1
385,068004360,1
386,163230011,1
387,006612335,1
388,135320069,1
389,065852024,1
390,063322297,1
391,006552073,1
392,037142047,1
393,T00260203,1
394,181910001,1
395,058322017,1
396,109410137,1
397,014122257,1
398,063652098,1
399,002222401,1
400,002711224,1
401,002312793,1
402,036632149/T00258243,1
403,037322187,1
404,023652069,1
405,162750052,1
406,002123168,1
